tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,relevancia,descrption,img_link
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,1994,Drama,9.3,2774751,25805184.3,"Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.","https://m.media-amazon.com/images/M/MV5BNjQ2NDA3MDcxMF5BMl5BanBnXkFtZTgwMjE5NTU0NzE@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0468569,movie,The Dark Knight,The Dark Knight,2008,"Action,Crime,Drama",9.0,2750724,24756516.0,"Quando a ameaça conhecida como O Coringa surge de seu passado, causa estragos e caos nas pessoas de Gotham. O Cavaleiro das Trevas deve aceitar um dos maiores testes para combater a injustiç... Ler tudo","https://m.media-amazon.com/images/M/MV5BNWJkYWJlOWMtY2ZhZi00YWM0LTliZDktYmRiMGYwNzczMTZhXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt1375666,movie,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,2441512,21485305.6,Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.,"https://m.media-amazon.com/images/M/MV5BMTQ1ZmIzOTAtNDcwZi00NDVkLWE4NWItYWNhZGY1MmVlZGU0XkEyXkFqcGdeQWRvb2xpbmhk._V1_QL75_UY281_CR0,0,500,281_.jpg"
tt0137523,movie,Fight Club,Fight Club,1999,Drama,8.8,2210376,19451308.8,Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.,"https://m.media-amazon.com/images/M/MV5BMTNmYzllNWYtYzU1Yi00YWFmLTgwMzMtZmY4OGE3NzExNzEzXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0109830,movie,Forrest Gump,Forrest Gump,1994,"Drama,Romance",8.8,2157949,18989951.200000003,"Os governos dos presidentes Kennedy e Johnson, os eventos do Vietnã e Watergate e outras histórias são mostradas através da perspectiva de um homem do Alabama com baixo quociente intelectual... Ler tudo","https://m.media-amazon.com/images/M/MV5BYzQyMWQ1ODMtZGE2OS00YzQyLWE2OWYtZmU5OGFiMWMwYmIyXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0110912,movie,Pulp Fiction,Pulp Fiction,1994,"Crime,Drama",8.9,2129380,18951482.0,"As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.","https://m.media-amazon.com/images/M/MV5BMjI5MzgxMTQ4M15BMl5BanBnXkFtZTgwNjczMTk0NzE@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0068646,movie,The Godfather,The Godfather,1972,"Crime,Drama",9.2,1931618,17770885.599999998,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,"https://m.media-amazon.com/images/M/MV5BYWNlN2U4YjQtMzI3NC00ZjkxLWEwMTItYWRlNDUxYTYwYjVlXkEyXkFqcGdeQWpvaG5oYXJ0._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0133093,movie,The Matrix,The Matrix,1999,"Action,Sci-Fi",8.7,1975041,17182856.7,Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.,"https://m.media-amazon.com/images/M/MV5BNDQ4NTRmN2ItYjgzMS00MzY3LWEwNmYtYmE2ODllZDdhNGI1XkEyXkFqcGdeQXdvbmtpbQ@@._V1_QL75_UY281_CR20,0,500,281_.jpg"
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",9.0,1902808,17125272.0,Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.,"https://m.media-amazon.com/images/M/MV5BNDRmNjQxOWItNTY3MS00M2ExLWJiYWYtNGQ2OTI5MWRkYWFlXkEyXkFqcGdeQWxiaWFtb250._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",8.8,1931074,16993451.200000003,Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,"https://m.media-amazon.com/images/M/MV5BMzQ2YjI2YzgtZmNmMy00ZjUyLWE0NGItY2Y3NjUzZWM4NmM3XkEyXkFqcGdeQWxiaWFtb250._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0816692,movie,Interstellar,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.7,1951436,16977493.2,"Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.","https://m.media-amazon.com/images/M/MV5BNjM5OTQzMTg4N15BMl5BanBnXkFtZTgwOTgyMjM0NTE@._V1_QL75_UX500_CR0,46,500,281_.jpg"
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama",8.8,1717084,15110339.2,"Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.","https://m.media-amazon.com/images/M/MV5BNTQ4OGQyNzktMjA1NS00MmQ1LWJjYTUtOGI4ZDNhNTA2NDBlXkEyXkFqcGdeQWxiaWFtb250._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,2012,"Action,Drama,Thriller",8.4,1759585,14780514.0,"Oito anos depois da anarquia do Coringa, Batman com ajuda da Mulher Gato, tentam salvar Gotham do terrorista Bane.","https://m.media-amazon.com/images/M/MV5BMGIwYmIwNWYtNzkxZC00YTdmLWI2NmMtYzA0ODZkNTNlZWMwXkEyXkFqcGdeQWFuaW5vc2M@._V1_QL75_UX500_CR0,0,500,281_.jpg"
